あずき 全粒 乾,20.8,2,59.6,4
あずき 全粒 ゆで,8.6,0.8,25.6,4
あずき ゆで小豆缶詰,4.4,0.4,49.2,4
あずき あん こし生あん,9.8,0.6,27.1,4
あずき あん さらしあん （乾燥あん）,23.5,1,66.8,4
あずき あん こし練りあん （並あん）,5.6,0.3,58.8,4
あずき あん こし練りあん （中割りあん）,5.1,0.3,61.1,4
あずき あん こし練りあん （もなかあん）,5.1,0.3,68.6,4
あずき あん つぶし練りあん,5.6,0.6,54,4
いんげんまめ 全粒 乾,22.1,2.5,56.4,4
いんげんまめ 全粒 ゆで,9.3,1.2,24.5,4
いんげんまめ うずら豆,6.7,1.3,49.6,4
いんげんまめ こし生あん,9.4,0.9,27,4
いんげんまめ 豆きんとん,4.9,0.5,56.2,4
えんどう 全粒 青えんどう 乾,21.7,2.3,60.4,4
えんどう 全粒 青えんどう ゆで,9.2,1,25.2,4
えんどう 全粒 赤えんどう 乾,21.7,2.3,60.4,4
えんどう 全粒 赤えんどう ゆで,9.2,1,25.2,4
えんどう グリンピース（揚げ豆）,20.8,11.6,58.8,4
えんどう 塩豆,23.3,2.4,61.5,4
えんどう うぐいす豆,5.6,0.7,52.9,4
ささげ 全粒 乾,23.9,2,55,4
ささげ 全粒 ゆで,10.2,0.9,23.8,4
そらまめ 全粒 乾,26,2,55.9,4
そらまめ フライビーンズ,24.7,20.8,46.4,4
そらまめ おたふく豆,7.9,1.2,52.2,4
そらまめ ふき豆,9.6,1.6,52.5,4
そらまめ しょうゆ豆,9.8,0.9,37.1,4
だいず ［全粒・全粒製品］ 全粒 青大豆 国産 乾,33.5,19.3,30.1,4
だいず ［全粒・全粒製品］ 全粒 青大豆 国産 ゆで,15,8.2,9.9,4
だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾,33.8,19.7,29.5,4
だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 ゆで,14.8,9.8,8.4,4
だいず ［全粒・全粒製品］ 全粒 黄大豆 米国産 乾,33,21.7,28.8,4
だいず ［全粒・全粒製品］ 全粒 黄大豆 中国産 乾,32.8,19.5,30.8,4
だいず ［全粒・全粒製品］ 全粒 黄大豆 ブラジル産 乾,33.6,22.6,30.7,4
だいず ［全粒・全粒製品］ 全粒 黒大豆 国産 乾,33.9,18.8,28.9,4
だいず ［全粒・全粒製品］ 全粒 黒大豆 国産 ゆで,14.7,8.6,9.8,4
だいず ［全粒・全粒製品］ いり大豆 青大豆,37.7,20.7,33.9,4
だいず ［全粒・全粒製品］ いり大豆 黄大豆,37.5,21.6,33.3,4
だいず ［全粒・全粒製品］ いり大豆 黒大豆,36.4,22,34.3,4
だいず ［全粒・全粒製品］ 水煮缶詰 黄大豆,12.9,6.7,7.7,4
だいず ［全粒・全粒製品］ 蒸し大豆 黄大豆,16.6,9.8,13.8,4
だいず ［全粒・全粒製品］ きな粉 青大豆 全粒大豆,37,22.8,29.3,4
だいず ［全粒・全粒製品］ きな粉 青大豆 脱皮大豆,36.6,24.6,28.3,4
だいず ［全粒・全粒製品］ きな粉 黄大豆 全粒大豆,36.7,25.7,28.5,4
だいず ［全粒・全粒製品］ きな粉 黄大豆 脱皮大豆,37.5,25.1,29.5,4
だいず ［全粒・全粒製品］ きな粉（砂糖入り） 青きな粉,18.5,11.4,64.3,4
だいず ［全粒・全粒製品］ きな粉（砂糖入り） きな粉,18.3,12.9,63.9,4
だいず ［全粒・全粒製品］ 大豆はいが,37.8,14.7,39.5,4
だいず ［全粒・全粒製品］ ぶどう豆,14.1,9.4,37,4
だいず ［豆腐・油揚げ類］ 木綿豆腐,7,4.9,1.5,4
だいず ［豆腐・油揚げ類］ 木綿豆腐 （凝固剤：塩化マグネシウム）,7,4.9,1.5,4
だいず ［豆腐・油揚げ類］ 木綿豆腐 （凝固剤：硫酸カルシウム）,7,4.9,1.5,4
だいず ［豆腐・油揚げ類］ 絹ごし豆腐,5.3,3.5,2,4
だいず ［豆腐・油揚げ類］ 絹ごし豆腐 （凝固剤：塩化マグネシウム）,5.3,3.5,2,4
だいず ［豆腐・油揚げ類］ 絹ごし豆腐 （凝固剤：硫酸カルシウム）,5.3,3.5,2,4
だいず ［豆腐・油揚げ類］ ソフト豆腐,5.1,3.3,2,4
だいず ［豆腐・油揚げ類］ 充てん豆腐,5,3.1,2.5,4
だいず ［豆腐・油揚げ類］ 沖縄豆腐,9.1,7.2,0.7,4
だいず ［豆腐・油揚げ類］ ゆし豆腐,4.3,2.8,1.7,4
